#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
1-1	0-1	L	_	_	_	_	_	_	_	_	_	_	_	
1-2	1-2	:	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-3	3-6	Das	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-4	7-12	läuft	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-5	13-18	jetzt	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-6	19-24	schon	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-7	24-25	,	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-8	26-30	oder	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	
1-9	30-31	?	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[51]	*[51]	Strukturieren[51]	*[51]	

#Text=E (glz.): Ja, auf meinem ist auf jeden Fall dieses Rekordzeichen drauf.
2-1	32-33	E	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-2	34-35	(	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-3	35-38	glz	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-4	38-39	.	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-5	39-40	)	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-6	40-41	:	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-7	42-44	Ja	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-8	44-45	,	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-9	46-49	auf	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-10	50-56	meinem	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-11	57-60	ist	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-12	61-64	auf	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-13	65-70	jeden	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-14	71-75	Fall	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-15	76-82	dieses	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-16	83-96	Rekordzeichen	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-17	97-102	drauf	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
2-18	102-103	.	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=E (glz.): Okay.
3-1	104-105	E	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-2	106-107	(	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-3	107-110	glz	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-4	110-111	.	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-5	111-112	)	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-6	112-113	:	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-7	114-118	Okay	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
3-8	118-119	.	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=E: Gut, dann können wir starten, oder?
4-1	120-121	E	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-2	121-122	:	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-3	123-126	Gut	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-4	126-127	,	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-5	128-132	dann	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-6	133-139	können	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-7	140-143	wir	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-8	144-151	starten	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-9	151-152	,	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-10	153-157	oder	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	
4-11	157-158	?	*[2]	Zeitlicher Rahmen[2]	*[2]	*[2]	*[2]	*[2]	*[2]	_	_	_	_	

#Text=L (glz.): Okay, gut.
5-1	159-160	L	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-2	161-162	(	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-3	162-165	glz	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-4	165-166	.	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-5	166-167	)	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
5-6	167-168	:	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	*[52]	*[52]	*[52]	Nicht-festgelegte Aufmerksamkeitsreaktion[52]	
5-7	169-173	Okay	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	*[52]	*[52]	*[52]	Nicht-festgelegte Aufmerksamkeitsreaktion[52]	
5-8	173-174	,	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	*[52]	*[52]	*[52]	Nicht-festgelegte Aufmerksamkeitsreaktion[52]	
5-9	175-178	gut	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	*[52]	*[52]	*[52]	Nicht-festgelegte Aufmerksamkeitsreaktion[52]	
5-10	178-179	.	*[3]	Zeitlicher Rahmen[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=L: Ja.
6-1	180-181	L	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
6-2	181-182	:	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
6-3	183-185	Ja	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	*[53]	*[53]	*[53]	Nicht-festgelegte Aufmerksamkeitsreaktion[53]	
6-4	185-186	.	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	*[53]	*[53]	*[53]	Nicht-festgelegte Aufmerksamkeitsreaktion[53]	

#Text=E: Okay, alles klar.
7-1	187-188	E	_	_	_	_	_	_	_	_	_	_	_	
7-2	188-189	:	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	
7-3	190-194	Okay	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	
7-4	194-195	,	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	
7-5	196-201	alles	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	
7-6	202-206	klar	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	
7-7	206-207	.	*[5]	Sonstiges[5]	*[5]	*[5]	*[5]	*[5]	*[5]	_	_	_	_	

#Text=L (glz.): Dann, hallo Frau Grün, schön, dass Sie es geschafft haben.
8-1	208-209	L	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-2	210-211	(	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-3	211-214	glz	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-4	214-215	.	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-5	215-216	)	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-6	216-217	:	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	_	_	_	_	
8-7	218-222	Dann	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-8	222-223	,	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-9	224-229	hallo	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-10	230-234	Frau	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-11	235-239	Grün	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-12	239-240	,	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-13	241-246	schön	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-14	246-247	,	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-15	248-252	dass	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-16	253-256	Sie	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-17	257-259	es	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-18	260-269	geschafft	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-19	270-275	haben	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	
8-20	275-276	.	*[6]	Begrüßung[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[54]	*[54]	*[54]	Statement[54]	

#Text=E: Ja, hallo, hallo, ich hoffe, wir können das schnell klären.
9-1	277-278	E	_	_	_	_	_	_	_	_	_	_	_	
9-2	278-279	:	_	_	_	_	_	_	_	_	_	_	_	
9-3	280-282	Ja	_	_	_	_	_	_	_	_	_	_	_	
9-4	282-283	,	_	_	_	_	_	_	_	_	_	_	_	
9-5	284-289	hallo	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-6	289-290	,	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-7	291-296	hallo	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-8	296-297	,	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-9	298-301	ich	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-10	302-307	hoffe	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-11	307-308	,	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-12	309-312	wir	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-13	313-319	können	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-14	320-323	das	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-15	324-331	schnell	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-16	332-338	klären	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	
9-17	338-339	.	*[7]	Zeitlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	_	_	_	_	

#Text=E: Ich habe noch andere Termine.
10-1	340-341	E	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-2	341-342	:	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-3	343-346	Ich	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-4	347-351	habe	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-5	352-356	noch	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-6	357-363	andere	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-7	364-371	Termine	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-8	371-372	.	*[8]	Zeitlicher Rahmen[8]	*[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	

#Text=E: Ich hoffe, wir kriegen das schnell geklärt.
11-1	373-374	E	_	_	_	_	_	_	_	_	_	_	_	
11-2	374-375	:	_	_	_	_	_	_	_	_	_	_	_	
11-3	376-379	Ich	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-4	380-385	hoffe	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
